Season,Team,Actual SOS,Predicted SOS
1970,Cleveland Browns,0.503,0.000
1970,Pittsburgh Steelers,0.416,0.000
1970,Buffalo Bills,0.500,0.000
1970,New Orleans Saints,0.607,0.000
1970,Denver Broncos,0.459,0.000
1970,New York Jets,0.538,0.000
1970,San Francisco 49ers,0.444,0.000
1970,Cincinnati Bengals,0.401,0.000
1970,Atlanta Falcons,0.526,0.000
1970,Miami Dolphins,0.370,0.000
1970,Chicago Bears,0.551,0.000
1970,Philadelphia Eagles,0.564,0.000
1970,Dallas Cowboys,0.487,0.000
1970,Baltimore Colts,0.370,0.000
1970,San Diego Chargers,0.503,0.000
1970,Los Angeles Rams,0.487,0.000
1970,New York Giants,0.426,0.000
1970,Oakland Raiders,0.513,0.000
1970,Houston Oilers,0.564,0.000
1970,Minnesota Vikings,0.464,0.000
1970,Washington Redskins,0.597,0.000
1970,Detroit Lions,0.556,0.000
1970,Boston Patriots,0.561,0.000
1970,Kansas City Chiefs,0.523,0.000
1970,Green Bay Packers,0.599,0.000
1970,St. Louis Cardinals,0.472,0.000
1971,Pittsburgh Steelers,0.485,0.526
1971,Cleveland Browns,0.464,0.411
1971,New Orleans Saints,0.587,0.559
1971,Buffalo Bills,0.574,0.508
1971,Denver Broncos,0.538,0.523
1971,New York Jets,0.510,0.518
1971,San Francisco 49ers,0.510,0.439
1971,Cincinnati Bengals,0.480,0.411
1971,Atlanta Falcons,0.505,0.584
1971,Chicago Bears,0.566,0.587
1971,Miami Dolphins,0.408,0.398
1971,Dallas Cowboys,0.416,0.406
1971,Philadelphia Eagles,0.526,0.622
1971,Baltimore Colts,0.482,0.441
1971,New England Patriots,0.536,0.551
1971,Los Angeles Rams,0.554,0.513
1971,San Diego Chargers,0.454,0.503
1971,New York Giants,0.554,0.520
1971,Minnesota Vikings,0.439,0.490
1971,Oakland Raiders,0.482,0.413
1971,Houston Oilers,0.472,0.436
1971,Washington Redskins,0.487,0.503
1971,Detroit Lions,0.515,0.477
